Data,zachmurzenie,prędkość wiatru [m/s],temperatura [°C],ciśnienie pary wodnej [hPa],wilgotność względna [%],ciśnienie na poziomie stacji [hPa],ciśnienie na poziomie morza [hPa],suma opadu dzień  [mm],suma opadu noc   [mm]
2017-01-01,.0,1.5,-3.7,3.5,78.3,991.2,1022.0,0.0,0.0
2017-01-02,5.0,4.5,-2.6,4.3,84.6,985.0,1015.5,1.5,0.2
2017-01-03,7.3,7.0,-1.2,5.1,90.4,986.9,1017.3,0.7,1.3
2017-01-04,7.3,9.9,0.9,5.6,86.0,971.3,1001.0,0.3,0.5
2017-01-05,6.3,5.4,-4.5,3.4,74.5,985.5,1016.2,0.0,0.0
2017-01-06,3.6,2.1,-13.4,1.6,73.0,1003.5,1035.9,0.1,0.0
2017-01-07,.8,1.8,-19.4,1.1,83.3,1003.7,1036.9,0.0,0.0
2017-01-08,2.8,0.6,-17.3,1.3,79.8,999.2,1032.0,0.0,0.0
2017-01-09,6.9,1.9,-10.8,2.0,73.9,997.5,1029.4,0.0,0.0
2017-01-10,2.3,1.4,-9.7,2.4,80.0,991.7,1023.3,0.0,0.0
2017-01-11,1.5,1.1,-12.6,2.0,81.9,987.2,1019.0,0.0,0.8
2017-01-12,7.8,5.5,-0.8,4.9,83.9,977.6,1007.6,0.2,0.0
2017-01-13,6.5,3.5,1.3,4.9,74.1,968.6,998.2,0.0,0.0
2017-01-14,6.9,4.1,0.3,5.1,81.4,972.4,1002.2,0.0,0.4
2017-01-15,6.0,2.9,-2.5,4.6,89.4,985.0,1015.5,1.0,0.1
2017-01-16,6.9,1.3,-3.5,4.0,84.1,992.1,1022.9,0.0,0.0
2017-01-17,7.9,2.8,-4.6,3.9,89.8,1002.3,1033.5,0.0,0.0
2017-01-18,7.9,3.5,-6.7,3.4,91.3,1009.4,1041.1,0.0,0.0
2017-01-19,5.8,2.1,-7.7,3.1,88.3,1008.8,1040.6,0.0,0.0
2017-01-20,7.4,2.9,-4.4,3.4,76.5,1005.5,1036.8,0.0,0.0
2017-01-21,7.5,2.3,-0.2,4.9,80.6,1003.5,1034.3,0.0,0.0
2017-01-22,4.0,2.4,-0.8,4.9,85.3,1002.7,1033.6,0.0,0.0
2017-01-23,4.0,0.8,-5.0,4.0,93.4,996.6,1027.8,0.0,0.0
2017-01-24,6.0,3.1,-5.6,3.6,88.9,996.8,1028.1,0.0,0.1
2017-01-25,8.0,2.3,-2.9,4.6,93.1,1000.7,1031.7,0.0,0.0
2017-01-26,5.3,1.8,-3.8,4.3,92.0,1003.8,1035.0,0.0,0.0
2017-01-27,1.9,0.3,-7.4,2.8,79.9,999.2,1030.8,0.0,0.0
2017-01-28,.1,0.8,-8.0,2.8,83.0,995.5,1026.9,0.0,0.0
2017-01-29,.0,0.8,-7.9,2.9,84.6,996.2,1027.7,0.0,0.0
2017-01-30,.0,0.8,-7.2,2.9,81.6,993.2,1024.5,0.0,0.0
2017-01-31,4.4,1.9,-5.0,3.5,82.3,990.3,1021.3,0.0,0.0
2017-02-01,6.5,1.0,-1.8,4.5,84.3,992.5,1023.1,0.0,5.0
2017-02-02,7.0,1.8,0.2,5.8,92.8,988.2,1018.5,0.0,1.5
2017-02-03,7.9,2.1,1.2,6.4,95.9,982.5,1012.4,0.0,0.0
2017-02-04,8.0,3.9,0.3,6.2,99.8,979.6,1009.6,0.0,0.5
2017-02-05,8.0,1.5,0.7,6.5,100.0,977.4,1007.3,2.0,0.0
2017-02-06,7.3,3.1,-0.7,5.8,99.1,985.8,1016.1,0.1,0.1
2017-02-07,8.0,4.3,-4.0,4.3,93.1,991.6,1022.4,0.0,0.0
2017-02-08,8.0,5.1,-7.4,3.0,84.1,997.5,1029.0,0.0,0.0
2017-02-09,8.0,5.1,-6.6,3.2,84.1,1002.9,1034.5,0.0,0.0
2017-02-10,4.8,5.1,-4.1,3.4,74.6,1001.3,1032.5,0.0,0.0
2017-02-11,2.6,5.0,-6.9,2.7,73.0,1000.9,1032.3,0.0,0.0
2017-02-12,2.0,4.6,-6.8,3.0,81.8,1004.9,1036.5,0.0,0.0
2017-02-13,7.9,3.4,-7.0,3.4,92.6,1008.0,1039.8,0.0,0.0
2017-02-14,4.0,2.5,-3.5,4.0,84.8,1006.2,1037.5,0.0,0.0
2017-02-15,.0,1.3,0.3,4.4,73.6,1006.2,1037.1,0.0,0.0
2017-02-16,1.9,1.9,1.6,5.1,74.8,1001.0,1031.5,0.0,0.0
