Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2020-01-01,31.75,
2020-01-02,72.81,
2020-01-03,103.45,
2020-01-04,17.99,
2020-01-05,17.36,
2020-01-06,55.36,
2020-01-07,70.14,
2020-01-08,52.15,
2020-01-09,40.99,
2020-01-10,59.23,
2020-01-11,25.66,
2020-01-12,25.81,
2020-01-13,48.26,
2020-01-14,93.83,
2020-01-15,90.85,
2020-01-16,88.56,
2020-01-17,-,
2020-01-18,72.99,
2020-01-19,53.45,
2020-01-20,37.34,
2020-01-21,36.78,
2020-01-22,38.12,
2020-01-23,41.45,
2020-01-24,73.54,
2020-01-25,54.88,
2020-01-26,72.01,
2020-01-27,88.94,
2020-01-28,-,
2020-01-29,14.78,
2020-01-30,17.44,
2020-01-31,19.49,
2020-02-01,13.11,
2020-02-02,11.50,
2020-02-03,16.90,
2020-02-04,14.01,
2020-02-05,13.47,
2020-02-06,41.69,
2020-02-07,33.73,
2020-02-08,59.93,
2020-02-09,75.88,
2020-02-10,16.51,
2020-02-11,9.11,
2020-02-12,9.96,
2020-02-13,27.12,
2020-02-14,27.00,
2020-02-15,33.16,
2020-02-16,46.95,
2020-02-17,45.74,
2020-02-18,21.83,
2020-02-19,20.79,
2020-02-20,32.92,
2020-02-21,34.41,
2020-02-22,29.18,
2020-02-23,7.42,
2020-02-24,16.59,
2020-02-25,20.52,
2020-02-26,15.72,
2020-02-27,22.91,
2020-02-28,32.44,
2020-02-29,25.03,
2020-03-01,22.27,
2020-03-02,33.80,
2020-03-03,28.10,
2020-03-04,30.90,
2020-03-05,61.19,
2020-03-06,34.02,
2020-03-07,21.93,
2020-03-08,37.59,
2020-03-09,61.00,
2020-03-10,58.54,
2020-03-11,11.61,
2020-03-12,17.04,
2020-03-13,14.23,
2020-03-14,12.55,
2020-03-15,22.86,
2020-03-16,37.45,
2020-03-17,51.65,
2020-03-18,81.74,
2020-03-19,68.09,
2020-03-20,49.44,
2020-03-21,14.35,
2020-03-22,14.03,
2020-03-23,23.36,
2020-03-24,25.48,
2020-03-25,33.61,
2020-03-26,39.14,
2020-03-27,49.36,
2020-03-28,58.71,
2020-03-29,74.26,
2020-03-30,18.06,
2020-03-31,49.96,
2020-04-01,53.11,
2020-04-02,52.84,
2020-04-03,39.68,
2020-04-04,42.10,
2020-04-05,33.20,
2020-04-06,41.11,
2020-04-07,49.34,
2020-04-08,54.57,
2020-04-09,50.12,
2020-04-10,25.03,
2020-04-11,35.45,
2020-04-12,24.81,
2020-04-13,25.86,
2020-04-14,20.75,
2020-04-15,36.58,
2020-04-16,30.84,
2020-04-17,31.92,
2020-04-18,23.13,
2020-04-19,14.92,
2020-04-20,22.62,
2020-04-21,28.10,
2020-04-22,26.59,
2020-04-23,33.05,
2020-04-24,41.26,
2020-04-25,31.72,
2020-04-26,20.51,
2020-04-27,30.15,
2020-04-28,31.02,
2020-04-29,30.89,
2020-04-30,31.18,
2020-05-01,20.81,
2020-05-02,15.23,
2020-05-03,14.14,
2020-05-04,25.74,
2020-05-05,17.93,
2020-05-06,20.49,
2020-05-07,23.18,
2020-05-08,31.96,
2020-05-09,29.23,
